LOG_SUCCESS       | info    | The initialization finished successfully without homotopy method.
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | The following assertion has been violated at time 1260.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | The following assertion has been violated at time 1320.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1380.010000
assert            | info    | The following assertion has been violated at time 1380.010000
assert            | info    | The following assertion has been violated at time 1380.010000
assert            | info    | The following assertion has been violated at time 1380.010000
assert            | info    | The following assertion has been violated at time 1380.010000
assert            | info    | The following assertion has been violated at time 1380.010000
assert            | info    | The following assertion has been violated at time 1380.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1440.010000
assert            | info    | The following assertion has been violated at time 1440.010000
assert            | info    | The following assertion has been violated at time 1440.010000
assert            | info    | The following assertion has been violated at time 1440.010000
assert            | info    | The following assertion has been violated at time 1440.010000
assert            | info    | The following assertion has been violated at time 1440.010000
assert            | info    | The following assertion has been violated at time 1440.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | The following assertion has been violated at time 1500.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | The following assertion has been violated at time 1560.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | The following assertion has been violated at time 1620.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1680.010000
assert            | info    | The following assertion has been violated at time 1680.010000
assert            | info    | The following assertion has been violated at time 1680.010000
assert            | info    | The following assertion has been violated at time 1680.010000
assert            | info    | The following assertion has been violated at time 1680.010000
assert            | info    | The following assertion has been violated at time 1680.010000
assert            | info    | The following assertion has been violated at time 1680.010000
assert            | info    | The following assertion has been violated at time 1680.010000
assert            | info    | Found event, previous asserts are ignored.
